"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Shopping","0","Cart","4","0","Add to Cart","0"
"0","Shopping","0","Cart","1","0","Remove from Cart","0"
