"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Shopping","0","Cart","7","0","View Cart","0"
"0","Shopping","0","Cart","1","0","Cart Persistence","0"
"0","Shopping","0","Checkout","1","0","Complete Order","0"
"0","","0","","0","51","","0"
"0","Shopping","0","Cart","4","0","Add to Cart","0"
"0","Product Catalog","0","Product Browsing","2","0","Product Details","0"
"0","Shopping","0","Cart","3","0","Remove from Cart","0"
"0","User Experience","0","Navigation","1","0","Menu Navigation","0"
