"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","0","51","","0"
"0","Shopping","0","Cart","1","0","View Cart","0"
"0","Shopping","0","Checkout","1","0","Order Confirmation","0"
