"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Management","0","Authentication","1","0","Valid Credentials","0"
"0","Shopping","0","Cart","4","0","Add to Cart","0"
"0","User Management","0","Authentication","1","0","Account Security","0"
"0","User Management","0","Authentication","3","0","Invalid Credentials","0"
"0","Shopping","0","Cart","1","0","Remove from Cart","0"
