"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an item can be removed from cart while on inventory page.","1141","TC-026: should remove item from inventory page","SauceDemo","2026-01-06","passed","2026-01-06","Remove from Cart","Cart Tests","",""
"Verify that login fails when password is not provided.","1198","TC-009: should display error with empty password","SauceDemo","2026-01-06","passed","2026-01-06","Invalid Credentials","Authentication Tests","",""
"Verify that clicking on a product navigates to its detail page.","1783","TC-014: should navigate to product detail page","SauceDemo","2026-01-06","passed","2026-01-06","Product Details","Product Catalog Tests","",""
"Clicking Checkout from cart redirects to checkout information page.","2026","TC-033: checkout button redirects to checkout step one","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Verify that products can be sorted by price from low to high.","1998","TC-019: should sort products by price low to high","SauceDemo","2026-01-06","passed","2026-01-06","Sort Products","Product Catalog Tests","",""
"Verify that a product can be added to cart from the detail page.","1574","TC-016: should add product to cart from detail page","SauceDemo","2026-01-06","passed","2026-01-06","Product Details","Product Catalog Tests","",""
"Cart page displays 0 items when user has not added any products.","1520","TC-035: cart page shows zero items when no products added","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Verify that valid checkout information can be entered and submitted.","1848","TC-038: should enter valid checkout information","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that checkout fails when last name is missing.","1918","TC-040: should validate missing last name","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that products can be sorted by price from high to low.","2209","TC-020: should sort products by price high to low","SauceDemo","2026-01-06","passed","2026-01-06","Sort Products","Product Catalog Tests","",""
"Cart page displays each item that was added from inventory.","1843","TC-029: cart page shows all added items","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Clicking Continue Shopping from cart redirects to inventory page.","2122","TC-032: continue shopping button redirects to inventory page","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Verify that products can be sorted alphabetically A to Z.","1951","TC-017: should sort products A-Z","SauceDemo","2026-01-06","passed","2026-01-06","Sort Products","Product Catalog Tests","",""
"Verify that removed item is no longer displayed in cart.","1629","TC-060: should verify item no longer in cart after removal","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Cart badge shows 0 when empty, increments on add, decrements on remove.","2038","TC-030: cart badge reflects number of items added and removed","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Verify that all 6 products are displayed on the inventory page.","1492","TC-013: should display all products on inventory page","SauceDemo","2026-01-06","passed","2026-01-06","Product Display","Product Catalog Tests","",""
"Verify that an item can be added to cart from the product detail page.","1654","TC-037: should add item from product detail page","SauceDemo","2026-01-06","passed","2026-01-06","Add to Cart","Cart Tests","",""
"Verify that checkout fails when postal code is missing.","2536","TC-041: should validate missing postal code","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that user can cancel checkout and return to cart page.","2394","TC-042: should cancel checkout","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that app state can be reset from the menu.","3172","TC-049: should reset app state","SauceDemo","2026-01-06","passed","2026-01-06","Reset State","User Experience Tests","",""
"Verify that accessing inventory page without login redirects to login page.","1094","TC-051: should redirect to login when accessing inventory page directly","SauceDemo","2026-01-06","passed","2026-01-06","Protected Routes","Platform Tests","",""
"Verify that user can return to inventory after completing order.","2542","TC-047: should return to home page after completing an order","SauceDemo","2026-01-06","passed","2026-01-06","Order Confirmation","Checkout Tests","",""
"Order complete page displays confirmation text to user.","2348","TC-055: order confirmation page shows thank you message","SauceDemo","2026-01-06","passed","2026-01-06","Order Confirmation","Checkout Tests","",""
"At iPhone 12/13 Pro viewport (390x844), inventory page shows items and menu opens/closes.","3132","TC-050: mobile viewport displays inventory items and toggles menu","SauceDemo","2026-01-06","passed","2026-01-06","Mobile Viewport","User Experience Tests","",""
"Verify that an item can be removed from the cart page.","2221","TC-027: should remove item from cart page","SauceDemo","2026-01-06","passed","2026-01-06","Remove from Cart","Cart Tests","",""
"Verify that login fails with incorrect username.","1294","TC-007: should display error with wrong username","SauceDemo","2026-01-06","passed","2026-01-06","Invalid Credentials","Authentication Tests","",""
"User is redirected to login page after clicking logout.","2683","TC-011: logout redirects to login page","SauceDemo","2026-01-06","passed","2026-01-06","Logout","Authentication Tests","",""
"Verify that checkout fails when first name is missing.","1915","TC-039: should validate missing first name","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that the ordered item appears in the order summary.","2422","TC-044: should display ordered product items in summary","SauceDemo","2026-01-06","passed","2026-01-06","Order Summary","Checkout Tests","",""
"Verify that a locked out user cannot access the application.","1552","TC-010: should block locked out user","SauceDemo","2026-01-06","passed","2026-01-06","Account Security","Authentication Tests","",""
"Checkout step two displays the order total amount.","2250","TC-043: order summary page shows item total","SauceDemo","2026-01-06","passed","2026-01-06","Order Summary","Checkout Tests","",""
"Verify that cart contents persist after logout and login.","2965","TC-031: should persist cart after logout and login","SauceDemo","2026-01-06","passed","2026-01-06","Cart Persistence","Cart Tests","",""
"Verify that user session persists after refreshing the page.","1491","TC-012: should persist session after page refresh","SauceDemo","2026-01-06","passed","2026-01-06","Session Management","Authentication Tests","",""
"Clicking Back to products from detail page redirects to inventory.","2523","TC-022: back to products button redirects to inventory page","SauceDemo","2026-01-06","passed","2026-01-06","Product Details","Product Catalog Tests","",""
"Clicking cart icon in header redirects to cart page.","1554","TC-075: cart icon in header redirects to cart page","SauceDemo","2026-01-06","passed","2026-01-06","Menu Navigation","User Experience Tests","",""
"All users with correct credentials are redirected to inventory page.","3229","TC-001: valid users redirect to inventory page after login","SauceDemo","2026-01-06","passed","2026-01-06","Valid Credentials","Authentication Tests","",""
"Verify that item can be removed from cart on product detail page.","2452","TC-072: should remove item from detail page","SauceDemo","2026-01-06","passed","2026-01-06","Product Details","Product Catalog Tests","",""
"Verify that products can be sorted alphabetically Z to A.","1912","TC-018: should sort products Z-A","SauceDemo","2026-01-06","passed","2026-01-06","Sort Products","Product Catalog Tests","",""
"Verify that a single item can be added to the cart.","1729","TC-023: should add single item to cart","SauceDemo","2026-01-06","passed","2026-01-06","Add to Cart","Cart Tests","",""
"Clicking Finish on checkout summary redirects to order complete page.","2594","TC-045: finish button redirects to order confirmation page","SauceDemo","2026-01-06","passed","2026-01-06","Complete Order","Checkout Tests","",""
"Verify that login fails when username is not provided.","1224","TC-008: should display error with empty username","SauceDemo","2026-01-06","passed","2026-01-06","Invalid Credentials","Authentication Tests","",""
"Verify that login fails with correct username but wrong password.","1922","TC-006: should display error with wrong password","SauceDemo","2026-01-06","passed","2026-01-06","Invalid Credentials","Authentication Tests","",""
